publication_title	print_identifier	online_identifier	date_last_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_edition	monograph_volume	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
International Harmonization of Competition Laws	9780792332794	9789004640238							https://brill.com/view/title/9433	Chia-Jui Cheng	10.1163/9789004640238		fulltext		Brill | Nijhoff	monograph	1995-01-01	2023-10-20	monograph					P
Looking to the Future	9789004173613	9789047427070							https://brill.com/view/title/15834	Arsanjani	10.1163/ej.9789004173613.i-1100		fulltext		Brill | Nijhoff	monograph	2010-10-25	2010-10-15	monograph					P
Israel Yearbook on Human Rights, Volume 13 (1983)	9780792303633	9789004422940							https://brill.com/view/title/9111	Dinstein	10.1163/9789004422940		fulltext		Brill | Nijhoff	monograph	1989-05-01	2020-10-26	monograph					P
Jurisprudence of the International Criminal Courts and the European Court of Human Rights	9789004163386	9789047432005							https://brill.com/view/title/14636	Tochilovsky	10.1163/ej.9789004163386.i-912		fulltext		Brill | Nijhoff	monograph	2007-12-17	2007-12-31	monograph					P
The GATT/WTO Dispute Settlement System	9789041109330	9789004636910							https://brill.com/view/title/10509	Petersmann	10.1163/9789004636910		fulltext		Brill | Nijhoff	monograph	1997-02-01	2024-01-22	monograph					P
Verification Practice under the Chemical Weapons Convention	9789041112583	9789004632578							https://brill.com/view/title/10644	Krutzsch	10.1163/9789004632578		fulltext		Brill | Nijhoff	monograph	1999-11-01	2023-09-20	monograph					P
A Military History of the Mediterranean Sea	9789004315099	9789004362048							https://brill.com/view/title/32999	Theotokis	10.1163/9789004362048		fulltext		BRILL	monograph	2018-05-09	2018-05-07	monograph					P
Teaching International Law	9789004678873	9789004678880							https://brill.com/view/title/68284	Hilpold	10.1163/9789004678880		fulltext		Brill | Nijhoff	monograph	2023-12-20	2023-12-18	monograph					F
Good Governance and Modern International Financial Institutions	9789004398016	9789004408326							https://brill.com/view/title/54744	Quayle	10.1163/9789004408326		fulltext		Brill | Nijhoff	monograph	2019-07-18	2019-07-01	monograph					F
Beschouwingen over het zgn. 'vulgaire' Romeinse recht	9789027117526	9789004621381							https://brill.com/view/title/4358	Kop	10.1163/9789004621381		fulltext		BRILL	monograph	1980-12-01	2024-11-18	monograph					P
Litigating the Rights of Minorities and Indigenous Peoples in Domestic and International Courts	9789004461659	9789004461666							https://brill.com/view/title/60070	de Villiers	10.1163/9789004461666		fulltext		Brill | Nijhoff	monograph	2021-09-02	2021-08-30	monograph					F
Human Rights and Refugees, Internally Displaced Persons and Migrant Workers	9789004144835	9789047417668							https://brill.com/view/title/12173	Bayefsky	10.1163/ej.9789004144835.i-599		fulltext		Brill | Nijhoff	monograph	2005-12-13	2005-12-01	monograph					P
International Copyright Law and Access to Education in Developing Countries	9789004228993	9789004235403							https://brill.com/view/title/21589	Isiko Štrba	10.1163/9789004235403		fulltext		Brill | Nijhoff	monograph	2012-08-22	2012-08-22	monograph					P
Hague Yearbook of International Law / Annuaire de La Haye de Droit International, Vol. 26 (2013)	9789004287358	9789004287365							https://brill.com/view/title/27078	Lavranos	10.1163/9789004287365		fulltext		Brill | Nijhoff	monograph	2014-11-14	2017-06-01	monograph					P
Individual Responsibility in International Law for Serious Human Rights Violations	9780792314530	9789004479845							https://brill.com/view/title/9216	Sunga	10.1163/9789004479845		fulltext		Brill | Nijhoff	monograph	1992-01-01	2021-09-27	monograph					P
International Law and Developing Countries	9789004204911	9789004258242							https://brill.com/view/title/17428	Bhuiyan	10.1163/9789004258242		fulltext		Brill | Nijhoff	monograph	2014-02-06	2014-02-06	monograph					P
